Length,8 mm,10 mm ,15 mm,18 mm,20 mm,25 mm,32 mm,40 mm,50 mm
10,413,852,1730,3030,4300,9170,16500,26000,54200
20,284,585,1190,2080,2950,6310,11400,17900,37300
30,228,470,956,1670,2370,5060,9120,14400,29900
40,195,402,818,1430,2030,4330,7800,12300,25600
50,173,356,725,1270,1800,3840,6920,10900,22700
60,157,323,657,1150,1630,3480,6270,9880,20600
70,144,297,605,1060,1500,3200,5760,9090,18900
80,134,276,562,983,1390,2980,5360,8450,17600
90,126,259,528,922,1310,2790,5030,7930,16500
100,119,245,498,871,1240,2640,4750,7490,15600
125,105,217,442,772,1100,2340,4210,6640,13800
150,95,197,400,700,992,2120,3820,6020,12500
175,88,181,368,644,913,1950,3510,5540,11500
200,82,168,343,599,849,1810,3270,5150,10700
250,72,149,304,531,753,1610,2900,4560,9510
300,66,135,275,481,682,1460,2620,4140,8610
350,60,124,253,442,628,1340,2410,3800,7920
400,56,116,235,411,584,1250,2250,3540,7370
450,53,109,221,386,548,1170,2110,3320,6920
500,50,103,209,365,517,1110,1990,3140,6530
550,47,97,198,346,491,1050,1890,2980,6210
600,45,93,189,330,469,1000,1800,2840,5920
650,43,89,181,316,449,959,1730,2720,5670
700,41,86,174,304,431,921,1660,2620,5450
750,40,82,168,293,415,888,1600,2520,5250
800,39,80,162,283,401,857,1540,2430,5070
850,37,77,157,274,388,829,1490,2350,4900
900,36,75,152,265,376,804,1450,2280,4750
950,35,72,147,258,366,781,1410,2220,4620
1000,34,71,143,251,356,760,1370,2160,4490
1100,32,67,136,238,338,721,1300,2050,4270
1200,31,64,130,227,322,688,1240,1950,4070
1300,30,61,124,217,309,659,1190,1870,3900
1400,28,59,120,209,296,633,1140,1800,3740
1500,27,57,115,201,286,610,1100,1730,3610
1600,26,55,111,194,276,589,1060,1670,3480
1700,26,53,108,188,267,570,1030,1620,3370
1800,25,51,104,182,259,553,1000,1570,3270
1900,24,50,101,177,251,537,966,1520,3170
2000,23,48,99,172,244,522,940,1480,3090
