nps,ss_thk,sc_thk,i_PU40,i_PU20,i_PU0,i_PU-20,i_PU-40,o_PU40,o_PU20,o_PU0,o_PU-20,o_PU-40,i_AF40,i_AF20,i_AF0,i_AF-20,i_AF-40,o_AF40,o_AF20,o_AF0,o_AF-20,o_AF-40
0,SteamSupply,SteamCondensate,IndoorPU(40),IndoorPU(20),IndoorPU(0),IndoorPU(-20),IndoorPU(-40),OutdoorPU(40),OutdoorPU(20),OutdoorPU(0),OutdoorPU(-20),OutdoorPU(-40),IndoorAeroflex(40),IndoorAeroflex(20),IndoorAeroflex(0),IndoorAeroflex(-20),IndoorAeroflex(-40),OutdoorAeroflex(40),OutdoorAeroflex(20),OutdoorAeroflex(0),OutdoorAeroflex(-20),OutdoorAeroflex(-40)
15,2.5,1.5,1,1.5,1.5,2,2,1.5,2,2.5,2.5,2.5,1,1,1.5,1.5,2,1.5,2,2.5,2.5,2.5
20,2.5,1.5,1.5,1.5,1.5,2,2,1.5,2,2.5,2.5,3,1,1,1.5,2,2,2,2.5,2.5,2.5,3
25,2.5,1.5,1.5,1.5,1.5,2,2,1.5,2,2.5,3,3,1,1,1.5,2,2,2,2.5,2.5,3,3
32,3,2,1.5,1.5,2,2,2,2,2,2.5,3,3,1,1,1.5,2,2,2,2.5,3,3,3
40,3,2,1.5,1.5,2,2,2.5,2,2.5,3,3,3.5,1,1,2,2,2,2,3,3,3,3.5
50,3.5,2,1.5,1.5,2,2,2.5,2,2.5,3,3,3.5,1,1.5,2,2,2.5,2.5,3,3,3,3.5
65,4,2.5,1.5,2,2,2.5,2.5,2.5,3,3.5,3.5,4,1,1.5,2,2,2.5,2.5,3,3.5,3.5,4
80,4,2.5,1.5,2,2,2.5,3,2.5,3,3.5,4,4.5,1,1.5,2,2.5,2.5,2.5,3,3.5,4,4.5
100,4,3,1.5,2,2.5,2.5,3,2.5,3,3.5,4,4.5,1.5,1.5,2,2.5,2.5,2.5,3.5,4,4,4.5
150,4,3,1.5,2,2.5,2.5,3,2.5,3.5,3.5,4.5,4.5,1.5,2,2,2.5,3,2.5,3.5,4,4.5,4.5
200,4,3,1.5,2,2.5,2.5,3,2.5,3.5,4.5,4.5,5,1.5,2,2,2.5,3,3,3.5,4.5,4.5,5
250,4,3,1.5,2,2.5,3,3,3,3.5,4.5,5,5.5,1.5,2,2,2.5,3,3,4,4.5,5,5.5
300,4,3,1.5,2,2.5,3,3.5,3,3.5,4.5,5,5.5,1.5,2,2,2.5,3,3,4,4.5,5.5,5.5
350,4,3,1.5,2,2.5,3,3.5,3,4,4.5,5.5,6,1.5,2,2.5,2.5,3,3.5,4,5,5.5,6
400,4,3,1.5,2,2.5,3,3.5,3,4,5,5.5,6,1.5,2,2.5,2.5,3.5,3.5,4.5,5,5.5,6
450,4,3,1.5,2,2.5,3,3.5,3.5,4,5,5.5,6,1.5,2,2.5,2.5,3.5,3.5,4.5,5,5.5,6
500,4,3,1.5,2.5,3,3,3.5,3.5,4,5,5.5,6,1.5,2,2.5,3,3.5,3.5,4.5,5,5.5,6
600,4,3,1.5,2.5,3,3.5,3.5,3.5,4,5,5.5,6.5,1.5,2,2.5,3,3.5,3.5,4.5,5,5.5,6.5
700,4,3,1.5,2.5,3,3.5,3.5,3.5,4,5,6,6.5,1.5,2,2.5,3,3.5,3.5,4.5,5.5,6,6.5
750,4,3,1.5,2.5,3,3.5,3.5,3.5,4,5,6,6.5,1.5,2,2.5,3,3.5,3.5,4.5,5.5,6,6.5
