nps,Para,Inch,OD,5S,10S,10,20,30,STD,40S,40,60,XS,80S,80,100,120,140,160,XXS,DXS,DXXS,TXS,TXXS
6 mm,t, 1/8,10.3,,1.24,,,,1.73,1.73,1.73,,2.41,2.41,2.41,,,,,,,,,
6 mm,w,,,,0.28,,,,0.37,0.36,0.37,,0.47,0.48,0.47,,,,,,,,,
8 mm,t, 1/4,13.7,,1.65,,,,2.24,2.24,2.24,,3.02,3.02,3.02,,,,,,,,,
8 mm,w,,,,0.51,,,,0.63,0.64,0.63,,0.8,0.82,0.8,,,,,,,,,
10 mm,t, 3/8,17.1,,1.65,,,,2.31,2.31,2.31,,3.2,3.2,3.2,,,,,,,,,
10 mm,w,,,,0.64,,,,0.84,0.86,0.84,,1.1,1.12,1.1,,,,,,,,,
15 mm,t, 1/2,21.3,1.65,2.11,,,,2.77,2.77,2.77,,3.73,3.73,3.73,,,,4.78,7.47,,,,
15 mm,w,,,0.82,1.01,,,,1.27,1.3,1.27,,1.62,1.65,1.62,,,,1.95,2.55,,,,
20 mm,t, 3/4,26.7,1.65,2.11,,,,2.87,2.87,2.87,,3.91,3.91,3.91,,,,5.56,7.82,,,,
20 mm,w,,,1.04,1.31,,,,1.69,171,1.69,,2.2,2.24,2.2,,,,2.9,3.64,,,,
25 mm,t,1,33.4,1.65,2.77,,,,3.38,3.38,3.38,,4.55,4.55,4.55,,,,6.35,9.09,,,,
25 mm,w,,,1.33,2.13,,,,2.5,2.55,2.5,,3.24,3.29,3.24,,,,4.24,5.45,,,,
32 mm,t,1 1/4,42.2,1.65,2.77,,,,3.56,3.56,3.56,,4.85,4.85,4.85,,,,6.35,9.7,,,,
32 mm,w,,,1.68,2.76,,,,3.39,3.46,3.39,,4.47,4.56,4.47,,,,5.61,7.77,,,,
40 mm,t,1 1/2,48.3,1.65,2.77,,,,3.68,3.68,3.68,,5.08,5.08,5.08,,,,7.14,10.15,,,,
40 mm,w,,,1.95,3.1,,,,4.05,4.13,4.05,,5.41,5.51,5.41,,,,7.25,9.56,,,,
50 mm,t,2,60.3,1.65,2.77,,,,3.91,3.91,3.91,,5.54,5.54,5.54,,,,8.74,11.07,12.5945,,,
50 mm,w,,,2.44,4.01,,,,5.44,5.54,5.44,,7.48,7.63,7.48,,,,11.11,13.44,,,,
65 mm,t,2 1/2,73,2.11,3.05,,,,5.16,5.16,5.16,,7.01,7.01,7.01,,,,9.53,14.02,15.46,,,
65 mm,w,,,3.77,5.36,,,,8.63,8.81,8.63,,11.41,11.64,11.41,,,,14.92,20.39,,,,
80 mm,t,3,88.9,2.11,3.05,,,,5.49,5.49,5.49,,7.62,7.62,7.62,,,,11.13,15.24,18.552,,,
80 mm,w,,,4.6,6.59,,,,11.29,11.52,11.29,,15.27,15.59,15.27,,,,21.35,27.68,,,,
90 mm,t,3 1/2,101.6,2.11,3.05,,,,5.74,5.74,5.74,,8.08,8.08,8.08,,,,,,,,,
90 mm,w,,,5.29,7.55,,,,13.57,13.84,13.57,,18.63,19.01,18.63,,,,,,,,,
100 mm,t,4,114.3,2.11,3.05,,,,6.02,6.02,6.02,,8.56,8.56,8.56,,11.13,,13.49,17.12,24.736,,,
100 mm,w,,,5.96,8.52,,,,16.07,16.4,16.07,,22.32,22.77,22.32,,28.32,,33.54,41.03,,,,
125 mm,t,5,141.3,2.77,3.4,,,,6.55,6.55,6.55,,9.53,9.53,9.53,,12.7,,15.88,19.05,,,,
125 mm,w,,,9.57,11.82,,,,21.77,22.2,21.77,,30.97,31.59,30.97,,40.28,,49.11,57.43,,,,
150 mm,t,6,168.3,2.77,3.4,,,,7.11,7.11,7.11,,10.97,10.97,10.97,,14.27,,18.26,21.95,23.38,37.104,,
150 mm,w,,,11.55,14.13,,,,28.26,28.83,28.26,,42.56,43.42,42.56,,54.2,,67.56,79.22,,,,
200 mm,t,8,219.1,2.77,3.75,,6.35,7.04,8.18,8.18,8.18,10.31,12.7,12.7,12.7,15.09,18.26,20.62,23.01,22.23,22.494,23.119,29.96,49.472
200 mm,w,,,15.09,20.37,,33.31,36.81,42.55,43.39,42.55,53.08,64.64,65.95,64.64,75.92,90.44,100.92,111.27,107.92,,,,
250 mm,t,10,273.1,3.4,4.19,,6.35,7.8,9.27,9.27,9.27,12.7,12.7,12.7,15.09,18.26,21.44,25.4,28.58,25.4,27.645,,36.96,61.84
250 mm,w,,,23.08,28.34,,41.77,51.03,60.31,61.52,60.31,81.55,81.55,83.19,96.01,114.75,133.06,155.15,172.33,155.15,,,,
300 mm,t,12,323.9,3.96,4.57,,6.35,8.38,9.53,9.52,10.31,14.27,12.7,12.7,17.48,21.44,25.4,28.58,33.32,25.4,32.493,,43.54,
300 mm,w,,,31.89,36.73,,49.73,65.2,73.88,75.32,79.73,108.96,97.46,99.43,132.08,159.91,186.75,208.14,238.76,186.97,,,,
350 mm,t,14,355.6,3.96,4.78,6.35,7.92,9.53,9.53,,11.13,15.09,12.7,,19.05,23.83,27.79,31.75,35.71,,35.523,38.89,,
350 mm,w,,,35.06,42.14,54.69,67.9,81.33,81.33,,94.55,126.71,107.39,,158.1,194.96,224.65,253.56,281.7,,,,,
400 mm,t,16,406.4,4.19,4.78,6.35,7.92,9.53,9.53,,12.7,16.66,12.7,,21.44,26.19,30.96,36.53,40.49,,,44.45,,
400 mm,w,,,42.41,48.26,62.64,77.83,93.27,93.27,,123.3,160.12,123.3,,203.53,245.56,286.64,333.19,365.35,,,,,
450 mm,t,18,457.2,4.19,4.78,6.35,7.92,11.13,9.53,,14.27,19.05,12.7,,23.88,29.36,34.93,39.67,45.24,,,,,
450 mm,w,,,47.77,54.36,70.57,87.71,122.38,105.16,,155.8,205.74,139.15,,254.55,309.62,363.56,408.26,459.37,,,,,
500 mm,t,20,508,4.78,5.54,6.35,9.53,12.7,9.53,,15.09,20.62,12.7,,26.19,32.54,38.1,44.45,50.01,,,77.8,,
500 mm,w,,,60.46,70,78.55,117.15,155.12,117.15,,183.42,247.83,155.12,,311.17,381.53,441.49,508.11,564.81,,,,,
550 mm,t,22,558.8,4.78,5.54,6.35,9.53,12.7,9.53,,,22.23,12.7,,28.58,34.93,41.28,47.36,53.98,,,,,
550 mm,w,,,66.57,77.06,86.54,129.13,171.09,129.13,,,294.25,171.09,,373.83,451.42,527.02,600.63,672.26,,,,,
600 mm,t,24,609.6,5.54,6.35,6.35,9.53,14.27,9.53,,17.48,24.61,12.7,,30.96,38.89,46.02,52.37,59.54,,,,,
600 mm,w,,,84.16,96.37,94.53,141.12,209.64,141.12,,255.41,355.26,187.06,,442.08,547.71,640.03,720.15,808.22,,,,,
650 mm,t,26,660.4,,,7.92,12.7,,9.53,,,,12.7,,,,,,,,,,,
650 mm,w,,,,,127.36,202.72,,152.87,,,,202.72,,,,,,,,,,,
700 mm,t,28,711.2,,,7.92,12.7,15.88,9.53,,,,12.7,,,,,,,,,,,
700 mm,w,,,,,137.32,218.69,271.21,164.85,,,,218.69,,,,,,,,,,,
750 mm,t,30,762,6.35,7.92,7.92,12.7,15.88,9.53,,,,12.7,,,,,,,,,,,
750 mm,w,,,120.72,150.36,147.28,234.67,292.18,176.84,,,,234.67,,,,,,,,,,,
800 mm,t,32,812.8,,,7.92,12.7,15.88,9.53,,17.48,,12.7,,,,,,,,,,,
800 mm,w,,,,,157.24,250.64,312.15,188.82,,342.91,,250.64,,,,,,,,,,,
850 mm,t,34,863.6,,,7.92,12.7,15.88,9.53,,17.48,,12.7,,,,,,,,,,,
850 mm,w,,,,,167.2,266.61,332.12,200.31,,364.9,,266.61,,,,,,,,,,,
900 mm,t,36,914.4,,,7.92,12.7,15.88,9.53,,19.05,,12.7,,,,,,,,,,,
900 mm,w,,,,,176.96,282.27,351.7,212.56,,420.4,,282.27,,,,,,,,,,,
950 mm,t,38,965.2,,,,,,9.53,,,,12.7,,,,,,,,,,,
950 mm,w,,,,,,,,224.54,,,,298.24,,,,,,,,,,,
1000 mm,t,40,1016,,,,,,9.53,,,,12.7,,,,,,,,,,,
1000 mm,w,,,,,,,,236.53,,,,314.22,,,,,,,,,,,
1050 mm,t,42,1066.8,,,,,,9.53,,,,12.7,,,,,,,,,,,
1050 mm,w,,,,,,,,248.52,,,,330.19,,,,,,,,,,,
1100 mm,t,44,1117.8,,,,,,9.53,,,,12.7,,,,,,,,,,,
1100 mm,w,,,,,,,,260.5,,,,346.16,,,,,,,,,,,
1150 mm,t,46,1168.4,,,,,,9.53,,,,12.7,,,,,,,,,,,
1150 mm,w,,,,,,,,272.25,,,,351.82,,,,,,,,,,,
1200 mm,t,48,1219.2,,,,,,9.53,,,,12.7,,,,,,,,,,,
1200 mm,w,,,,,,,,284.24,,,,377.79,,,,,,,,,,,
